datetime,km,sentido_via,acidente
2023-09-27 12:00:00,146.1,Decrescente,1.0
2023-02-26 08:00:00,140.1,Decrescente,1.0
2023-01-04 07:00:00,145.1,Crescente,1.0
2023-11-24 10:00:00,140.1,Decrescente,1.0
2023-11-13 18:00:00,146.1,Decrescente,1.0
2023-01-07 23:00:00,148.0,Decrescente,1.0
2023-08-06 05:00:00,140.1,Decrescente,1.0
2023-06-20 06:00:00,145.1,Crescente,1.0
2023-04-29 18:00:00,148.4,Crescente,1.0
2023-01-31 07:00:00,146.1,Crescente,1.0
2023-01-28 20:00:00,148.1,Crescente,1.0
2023-04-07 14:00:00,147.1,Decrescente,1.0
2023-08-05 01:00:00,145.0,Decrescente,1.0
2023-12-15 17:00:00,148.0,Decrescente,1.0
2023-11-04 12:00:00,146.1,Decrescente,1.0
2023-09-22 16:00:00,145.0,Decrescente,1.0
2023-06-13 17:00:00,142.1,Crescente,1.0
2023-07-23 23:00:00,145.1,Crescente,1.0
2023-10-07 01:00:00,142.0,Decrescente,1.0
2023-04-17 07:00:00,140.1,Decrescente,1.0
2023-03-13 17:00:00,143.0,Decrescente,1.0
2023-07-15 16:00:00,144.0,Decrescente,1.0
2023-09-08 17:00:00,144.0,Decrescente,1.0
2023-11-06 20:00:00,148.1,Crescente,1.0
2023-07-06 10:00:00,145.8,Decrescente,1.0
2023-12-11 15:00:00,145.0,Decrescente,1.0
2023-09-22 22:00:00,147.1,Decrescente,1.0
2023-03-10 16:00:00,148.1,Crescente,1.0
2023-08-27 12:00:00,145.0,Decrescente,1.0
2023-08-31 08:00:00,146.9,Crescente,1.0
2023-01-21 16:00:00,148.0,Decrescente,1.0
2023-06-15 17:00:00,143.0,Decrescente,1.0
2023-06-20 18:00:00,146.1,Decrescente,1.0
2023-10-27 14:00:00,144.0,Decrescente,1.0
2023-01-06 15:00:00,142.0,Decrescente,1.0
2023-05-27 21:00:00,148.1,Crescente,1.0
2023-10-31 11:00:00,145.0,Decrescente,1.0
2023-02-17 11:00:00,142.1,Crescente,1.0
2023-11-25 19:00:00,140.1,Decrescente,1.0
2023-12-20 16:00:00,145.2,Decrescente,1.0
2023-01-29 14:00:00,144.0,Decrescente,1.0
2023-08-18 07:00:00,146.8,Decrescente,1.0
2023-01-26 17:00:00,146.9,Crescente,1.0
2023-02-15 21:00:00,145.1,Crescente,1.0
2023-09-29 15:00:00,146.1,Decrescente,1.0
2023-12-07 00:00:00,146.1,Crescente,1.0
2023-12-05 14:00:00,140.0,Crescente,1.0
2023-03-16 15:00:00,148.0,Decrescente,1.0
2023-09-25 19:00:00,142.1,Crescente,1.0
